id,Year,Sample Name,BET(m2 / g),Eg(eV),NO2(%),PT(h),T(℃),PM(g),HR(℃/min),urea,thiourea,dicyandiamide,melamine,Whether doping,Doping content(wt%),Load/g(12cm),Tungsten halogen lamp, LED lamp,Xe lamp,Metal halide lamp,Else,Intensity(W/m2),Flow rate(L/min),Pore volume(cm3/g),NOx(%)
0,2013,CN-0,31.0,2.72,15.45,0.0,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.091,26.0
1,2013,CN-15,35.0,2.7,14.56,0.25,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.14,28.5
2,2013,CN-30,52.0,2.69,14.17,0.5,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.25,29.7
3,2013,CN-60,62.0,2.68,13.67,1.0,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.3,30.3
4,2013,CN-120,75.0,2.72,12.52,2.0,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.34,31.3
5,2013,CN-240,288.0,2.78,10.21,4.0,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,1.41,32.1
6,2013,CN-U,75.0,2.73,,2.0,550,6.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,,31.7
7,2013,CN-T,27.0,2.45,,2.0,550,6.0,15.0,0,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,,27.3
8,2013,CN-TU,41.0,2.58,,2.0,550,12.0,15.0,1,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,,47.6
9,2014,CN-500 °C,5.0,2.44,56.66,2.0,500,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.029,10.2
10,2014,CN-525 °C,16.0,2.43,39.72,2.0,525,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.087,12.9
11,2014,CN-550 °C,27.0,2.42,35.47,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.142,22.0
13,2014,CN-600 °C,36.0,2.57,27.18,2.0,600,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.25,32.7
14,2014,CN-0 min,6.0,2.37,45.55,0.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.036,7.7
15,2014,CN-15 min,8.0,2.38,43.18,0.25,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.048,10.2
16,2014,CN-30 min,10.0,2.39,41.79,0.5,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.06,14.1
17,2014,CN-60 min,12.0,2.4,38.52,1.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.073,17.6
18,2014,CN-120 min,27.0,2.42,33.31,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.142,22.0
19,2014,CN-240 min,71.0,2.9,24.61,4.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.35,32.3
20,2014,C3N4,27.0,2.58,,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.142,22.0
21,2014,MCN-HA,112.0,2.6,,2.0,550,10.0,15.0,0,1,0,0,1,,0.1,1,0,0,0,0.0,1600.0,2.4,0.529,40.7
22,2014,MCN-NS,105.0,2.62,,2.0,550,10.0,15.0,0,1,0,0,1,,0.1,1,0,0,0,0.0,1600.0,2.4,0.489,39.6
27,2015,CN-D,7.0,2.55,,3.0,550,12.0,15.0,0,0,1,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.096,22.0
28,2015,CN-U,91.0,2.87,,3.0,550,12.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.9,29.6
29,2015,CN-DU,45.0,,,3.0,550,12.0,15.0,1,0,1,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.36,39.3
30,2015,CN-M,10.0,2.53,,3.0,550,12.0,15.0,0,0,0,1,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.12,26.8
31,2015,CN-MU,32.0,,,3.0,550,12.0,15.0,1,0,0,1,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.24,41.3
32,"2,015",Bi-CN-15,57.0,,,2.0,550,10.0,15.0,1,0,0,0,1,15.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.28,48.5
34,"2,015",Bi-CN-50,41.0,,,2.0,550,10.0,15.0,1,0,0,0,1,50.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.17,47.6
38,2015,CN-B,27.0,2.42,37.06,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.14,18.9
40,2015,CN-500,99.0,2.65,25.42,2.0,500,10.0,15.0,0,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.45,29.0
41,2015,CN-550,151.0,2.86,21.24,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.52,33.5
42,2014,C3N4,13.49,2.7,9.6,3.0,550,12.0,15.0,0,0,0,1,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,,28.7
43,2014,C3N4-P-3,22.17,,13.35,3.0,550,12.0,15.0,0,0,0,1,1,3.0,0.1,1,0,0,0,0.0,1600.0,2.4,,37.7
44,2014,C3N4-P-5,23.8,,13.74,3.0,550,12.0,15.0,0,0,0,1,1,5.0,0.1,1,0,0,0,0.0,1600.0,2.4,,42.3
45,2014,C3N4-P-10,30.33,2.58,10.5,3.0,550,12.0,15.0,0,0,0,1,1,10.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.185,37.5
46,2015, C3N4,58.7,2.7,29.5,2.0,550,16.0,15.0,1,0,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.408,39.5
47,2015, C3N4-Ag-5%,37.1,,26.5,2.0,550,16.0,15.0,1,0,0,0,1,5.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.132,45.5
48,2015,C3N4-Ag-10%,35.4,,26.5,2.0,550,16.0,15.0,1,0,0,0,1,10.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.118,54.3
49,2015,C3N4-Ag-20%,38.4,,24.0,2.0,550,16.0,15.0,1,0,0,0,1,20.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.119,54.2
50,2016,CN,13.49,2.7,,2.0,550,10.0,10.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.11,28.7
51,2016,CN–P-3,22.17,,,2.0,550,10.0,10.0,0,1,0,0,1,3.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.15,37.7
52,2016,CN–P-5,23.8,,,2.0,550,10.0,10.0,0,1,0,0,1,5.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.17,42.3
53,2016,CN–P-10,30.33,,,2.0,550,10.0,10.0,0,1,0,0,1,10.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.21,37.5
54,2016,CN-T,23.0,2.51,12.04,3.0,550,12.0,10.0,0,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.14,29.6
55,2016,CN-D,18.0,2.58,9.06,3.0,563,12.0,10.0,0,0,1,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.09,22.2
56,2016,CN-M,14.0,2.56,11.13,3.0,575,12.0,10.0,0,0,0,1,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.06,26.8
57,2016,CN-U,153.0,2.88,9.33,3.0,530,12.0,10.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.4,31.9
58,2018,CN,18.0,2.66,,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.13,22.75
59,2018,CN-Ca1,14.0,2.05,25.096,2.0,550,10.0,15.0,0,1,0,0,1,3.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.1,37.24
60,2018,CN-Ca3,14.0,2.05,25.468,2.0,550,10.0,15.0,0,1,0,0,1,5.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.09,48.15
61,2018,CN-Ca5,10.0,2.05,24.566,2.0,550,10.0,15.0,0,1,0,0,1,10.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.05,39.47
62,2018,CN,26.0,2.45,11.39,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.17,29.0
63,2018,OCN-K-CN1,25.0,2.6,14.5,2.0,550,10.0,15.0,0,1,0,0,1,1.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.17,38.5
64,2018,OCN-K-CN3,20.0,2.6,8.814,2.0,550,10.0,15.0,0,1,0,0,1,3.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.15,45.47
65,2018,OCN-K-CN5,16.0,2.6,9.348,2.0,550,10.0,15.0,0,1,0,0,1,5.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.1,42.1
66,2018,CN-3Sr,18.5,2.63,20.167,2.0,550,10.0,15.0,0,1,0,0,1,3.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.132,50.9
67,2018,CN-5Sr,13.3,2.6,22.333,2.0,550,10.0,15.0,0,1,0,0,1,5.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.096,53.1
68,2018,CN-10Sr,9.1,2.58,21.0,2.0,550,10.0,15.0,0,1,0,0,1,10.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.068,44.7
69,2018,CN,23.0,2.66,20.0,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.169,36.3
70,2017,CN,26.0,2.45,,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.17,35.02
71,2017,CN-Rb3,26.0,,,2.0,550,10.0,15.0,0,1,0,0,1,3.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.14,38.66
72,2017,CN-Rb5,25.0,2.22,,2.0,550,10.0,15.0,0,1,0,0,1,5.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.14,48.54
73,2017,CN-Rb10,24.0,,,2.0,550,10.0,15.0,0,1,0,0,1,10.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.13,33.52
74,2017,CN-Cs3,25.0,,,2.0,550,10.0,15.0,0,1,0,0,1,3.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.14,46.21
75,2017,CN-Cs5,24.0,2.22,,2.0,550,10.0,15.0,0,1,0,0,1,5.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.14,51.11
76,2017,CN-Cs10,22.0,,,2.0,550,10.0,15.0,0,1,0,0,1,10.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.12,45.12
77,2017,C3N4,20.0,2.39,,0.0,550,0.5,15.0,0,0,1,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.13,16.0
78,2017,C3N4-2h,50.0,2.46,,2.0,550,0.5,15.0,0,0,1,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.31,47.8
79,2017,C3N4-4h,122.0,2.58,,4.0,550,0.5,15.0,0,0,1,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.55,51.2
80,2017,C3N4-6h,105.0,2.55,,6.0,550,0.5,15.0,0,0,1,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.49,49.7
81,2018,CN-T,26.8,2.47,14.973,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,0.042,34.9
82,2018,CN-U,137.2,2.64,7.0596,2.0,550,10.0,15.0,1,0,0,0,0,0.0,0.1,1,0,0,0,0.0,1600.0,2.4,,40.4
84,2019,Pd-C3N4,,2.75,2.6,2.0,550,10.0,15.0,1,0,0,0,1,1.0,0.2,1,0,0,0,0.0,1600.0,2.4,,44.9
86,2020,Au-C3N4,49.8,,8.11,2.0,550,20.0,15.0,1,0,0,0,1,,0.2,1,0,0,0,0.0,1600.0,2.4,,41.0
91,2020,TN450,13.47,2.62,,4.0,450,19.5,5.0,1,0,0,0,0,0.0,0.2,0,1,0,0,0.0,14.0,1.0,0.03,35.2
93,2020,TN550,13.02,2.52,,4.0,550,19.5,5.0,1,0,0,0,0,0.0,0.2,0,1,0,0,0.0,14.0,1.0,0.03,31.8
94,2020,TN600,17.76,2.32,,4.0,600,19.5,5.0,1,0,0,0,0,0.0,0.2,0,1,0,0,0.0,14.0,1.0,0.05,24.7
98,2015,5M,11.0,2.62,,2.0,550,5.0,15.0,0,0,0,1,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.08,14.3
100,2015,5M-CF,65.0,2.55,,2.0,550,5.0,15.0,0,0,0,1,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.293,50.1
101,2015,8M-CF,14.0,2.24,,2.0,550,8.0,15.0,0,0,0,1,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.085,22.3
102,2015,CN-2T ,66.0,2.5,20.67,2.0,550,2.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.39,48.3
103,2015,CN-5T ,24.0,2.46,36.74,2.0,550,5.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.18,33.6
104,2015,CN-10T,13.0,2.38,32.4,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.087,25.5
105,2015,CN-20T,12.0,2.37,44.37,2.0,550,20.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,0.083,12.7
106,2016,CN,27.0,2.45,,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,,22.4
107,2016,CN-K1,18.0,2.34,,2.0,550,10.0,15.0,0,1,0,0,1,1.0,0.2,1,0,0,0,0.0,1600.0,2.4,,33.5
108,2016,CN-K3,14.0,2.19,,2.0,550,10.0,15.0,0,1,0,0,1,3.0,0.2,1,0,0,0,0.0,1600.0,2.4,,34.9
109,2016,CN-K5,11.0,2.15,,2.0,550,10.0,15.0,0,1,0,0,1,5.0,0.2,1,0,0,0,0.0,1600.0,2.4,,36.8
110,2016,CN-K10,8.0,2.15,,2.0,550,10.0,15.0,0,1,0,0,1,10.0,0.2,1,0,0,0,0.0,1600.0,2.4,,27.0
112,2018,CN,27.0,2.64,,2.0,550,10.0,15.0,0,1,0,0,0,0.0,0.2,1,0,0,0,0.0,1600.0,2.4,,23.5
